Date,Open,High,Low,Close,Adj Close,Volume
1997-02-21,4.693333,4.733333,4.666667,4.680000,2.798774,291563
1997-02-24,4.680000,4.760000,4.653333,4.693333,2.806748,141563
1997-02-25,4.693333,4.720000,4.613333,4.720000,2.822695,389063
1997-02-26,4.693333,4.693333,4.613333,4.680000,2.798774,341250
1997-02-27,4.653333,4.720000,4.640000,4.706667,2.814723,546563
1997-02-28,4.653333,4.773333,4.640000,4.773333,2.854589,726563
1997-03-03,4.666667,4.773333,4.666667,4.760000,2.863895,502500
1997-03-04,4.733333,4.733333,4.693333,4.733333,2.847852,348750
1997-03-05,4.733333,4.786667,4.720000,4.786667,2.879940,311250
1997-03-06,4.800000,4.826667,4.786667,4.800000,2.887964,196875
1997-03-07,4.826667,4.840000,4.786667,4.813333,2.895984,384375
1997-03-10,4.840000,4.906667,4.680000,4.906667,2.952139,414375
1997-03-11,4.880000,4.933333,4.880000,4.906667,2.952139,317813
1997-03-12,4.880000,4.946667,4.880000,4.893333,2.944116,320625
1997-03-13,4.866667,4.880000,4.746667,4.746667,2.855873,150938
1997-03-14,4.733333,4.933333,4.720000,4.866667,2.928075,621563
1997-03-17,4.866667,5.066667,4.826667,5.026667,3.024337,728438
1997-03-18,5.000000,5.066667,4.933333,5.000000,3.008293,938438
1997-03-19,4.986667,5.106667,4.986667,5.106667,3.072471,610313
1997-03-20,5.106667,5.106667,5.000000,5.080000,3.056427,555000
1997-03-21,5.106667,5.293333,5.093333,5.253333,3.160714,880313
1997-03-24,5.306667,5.346667,5.240000,5.240000,3.152691,1010625
1997-03-25,5.213333,5.213333,5.146667,5.146667,3.096537,1011563
1997-03-26,5.120000,5.320000,5.120000,5.226667,3.144667,1022813
1997-03-27,5.306667,5.333333,5.133333,5.160000,3.104559,893438
1997-03-31,5.120000,5.226667,5.080000,5.093333,3.064448,680625
1997-04-01,5.066667,5.173333,5.026667,5.120000,3.080493,481875
1997-04-02,5.066667,5.120000,5.040000,5.066667,3.048404,510000
1997-04-03,5.026667,5.053333,4.960000,5.026667,3.024337,380625
1997-04-04,5.000000,5.080000,4.973333,5.066667,3.048404,513750
1997-04-07,5.040000,5.133333,5.026667,5.066667,3.048404,541875
1997-04-08,5.000000,5.106667,5.000000,5.093333,3.064448,1164375
1997-04-09,5.040000,5.066667,5.013333,5.026667,3.024337,555000
1997-04-10,5.013333,5.160000,5.013333,5.160000,3.104559,502500
1997-04-11,5.133333,5.146667,5.000000,5.000000,3.008293,525000
1997-04-14,4.960000,5.000000,4.906667,4.973333,2.992251,700313
1997-04-15,5.000000,5.066667,4.986667,5.040000,3.032360,444375
1997-04-16,5.013333,5.186667,5.013333,5.186667,3.120604,439688
1997-04-17,5.186667,5.300000,5.173333,5.186667,3.120604,368438
1997-04-18,5.200000,5.320000,5.200000,5.320000,3.200824,457500
1997-04-21,5.320000,5.320000,5.160000,5.226667,3.144667,405000
1997-04-22,5.240000,5.360000,5.226667,5.333333,3.208845,313125
1997-04-23,5.320000,5.333333,5.266667,5.320000,3.200824,280313
1997-04-24,5.333333,5.386667,5.293333,5.293333,3.184781,242813
1997-04-25,5.306667,5.533333,5.293333,5.426667,3.264999,658125
1997-04-28,5.440000,5.493333,5.346667,5.386667,3.240935,1098750
1997-04-29,5.440000,5.480000,5.400000,5.400000,3.248955,237188
1997-04-30,5.413333,5.426667,5.386667,5.386667,3.240935,678750
1997-05-01,5.386667,5.533333,5.386667,5.480000,3.297090,481875
1997-05-02,5.506667,5.586667,5.506667,5.573333,3.353244,675938
1997-05-05,5.573333,5.653333,5.546667,5.626667,3.385334,774375
1997-05-06,5.626667,5.773333,5.600000,5.640000,3.393355,476250
1997-05-07,5.666667,5.666667,5.493333,5.533333,3.329177,385313
1997-05-08,5.520000,5.680000,5.520000,5.586667,3.361269,605625
1997-05-09,5.600000,5.600000,5.466667,5.546667,3.337200,878438
1997-05-12,5.573333,5.666667,5.520000,5.533333,3.329177,814688
1997-05-13,5.546667,5.573333,5.493333,5.546667,3.337200,589688
1997-05-14,5.573333,5.600000,5.480000,5.506667,3.313135,190313
1997-05-15,5.506667,5.613333,5.493333,5.573333,3.353244,473438
1997-05-16,5.573333,5.573333,5.400000,5.546667,3.337200,705938
1997-05-19,5.520000,5.640000,5.480000,5.573333,3.353244,571875
1997-05-20,5.546667,5.653333,5.520000,5.613333,3.377311,281250
1997-05-21,5.586667,5.586667,5.386667,5.466667,3.289068,597188
1997-05-22,5.493333,5.573333,5.453333,5.546667,3.337200,435000
1997-05-23,5.573333,5.640000,5.573333,5.640000,3.393355,234375
